,No,ExpNo,FileCode,PhotoCode,ExtractionType,ExpCode,DAI,Host,HostVariety,Treatment,Condition,Dilution,techRepNumber,isoRepNumber,sampleNumber,ExposureTreatment,chl,ES5_digital_WBonly_T_tuk
102,102,ES5,DSC_0631.sample3.clean.jpg,NA,Digital,ES5_34,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep1,isolateRep1,sample3,WB_only,247.1,35.92256047
103,103,ES5,DSC_0024.sample1.clean.jpg,NA,Digital,ES5_35,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep2,isolateRep1,sample1,WB_only,92.7,18.99336119
104,104,ES5,DSC_0024.sample2.clean.jpg,NA,Digital,ES5_35,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep2,isolateRep1,sample2,WB_only,75,16.5496884
105,105,ES5,DSC_0024.sample3.clean.jpg,NA,Digital,ES5_35,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep2,isolateRep1,sample3,WB_only,89.6,18.57805338
106,106,ES5,DSC_0248.sample1.clean.jpg,NA,Digital,ES5_36,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep3,isolateRep1,sample1,WB_only,97,19.56147628
107,107,ES5,DSC_0248.sample2.clean.jpg,NA,Digital,ES5_36,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep3,isolateRep1,sample2,WB_only,90.6,18.71256528
108,108,ES5,DSC_0248.sample3.clean.jpg,NA,Digital,ES5_36,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep3,isolateRep1,sample3,WB_only,120.7,22.54808823
109,109,ES5,DSC_0109.sample1.clean.jpg,NA,Digital,ES5_37,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep1,isolateRep1,sample1,WB_only,95.2,19.32475588
110,110,ES5,DSC_0109.sample2.clean.jpg,NA,Digital,ES5_37,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep1,isolateRep1,sample2,WB_only,58.4,14.06592672
111,111,ES5,DSC_0109.sample3.clean.jpg,NA,Digital,ES5_37,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep1,isolateRep1,sample3,WB_only,92.6,18.98004079
112,112,ES5,DSC_0072.sample1.clean.jpg,NA,Digital,ES5_38,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep2,isolateRep1,sample1,WB_only,53.9,13.35158108
113,113,ES5,DSC_0072.sample2.clean.jpg,NA,Digital,ES5_38,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep2,isolateRep1,sample2,WB_only,52.4,13.10887241
114,114,ES5,DSC_0072.sample3.clean.jpg,NA,Digital,ES5_38,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep2,isolateRep1,sample3,WB_only,86.2,18.11672628
115,115,ES5,DSC_0652.sample1.clean.jpg,NA,Digital,ES5_39,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep3,isolateRep1,sample1,WB_only,94,19.16607154
116,116,ES5,DSC_0652.sample2.clean.jpg,NA,Digital,ES5_39,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep3,isolateRep1,sample2,WB_only,62.6,14.71544218
117,117,ES5,DSC_0652.sample3.clean.jpg,NA,Digital,ES5_39,7DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,stemRep3,isolateRep1,sample3,WB_only,77.9,16.96287054
118,118,ES5,DSC_0061.sample1.clean.jpg,NA,Digital,ES5_40,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep1,isolateRep1,sample1,WB_only,74.4,16.4635091
119,119,ES5,DSC_0061.sample2.clean.jpg,NA,Digital,ES5_40,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep1,isolateRep1,sample2,WB_only,77.3,16.87783244
120,120,ES5,DSC_0061.sample3.clean.jpg,NA,Digital,ES5_40,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep1,isolateRep1,sample3,WB_only,70.6,15.91193719
121,121,ES5,DSC_0098.sample1.clean.jpg,NA,Digital,ES5_41,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep2,isolateRep1,sample1,WB_only,187.3,30.001955
122,122,ES5,DSC_0098.sample1.clean.jpg,NA,Digital,ES5_41,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep2,isolateRep1,sample2,WB_only,187.3,30.001955
123,123,ES5,DSC_0098.sample1.clean.jpg,NA,Digital,ES5_41,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep2,isolateRep1,sample3,WB_only,187.3,30.001955
124,124,ES5,DSC_0239.sample1.clean.jpg,NA,Digital,ES5_42,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep3,isolateRep1,sample1,WB_only,117.7,22.1822043
125,125,ES5,DSC_0239.sample2.clean.jpg,NA,Digital,ES5_42,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep3,isolateRep1,sample2,WB_only,96.1,19.44331007
126,126,ES5,DSC_0239.sample3.clean.jpg,NA,Digital,ES5_42,7DAI,Soybean,AG4632,DMCC2165,Stationary,25fold,stemRep3,isolateRep1,sample3,WB_only,82.8,17.64898439
127,127,ES5,DSC_0124.sample1.clean.jpg,NA,Digital,ES5_43,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep1,isolateRep1,sample1,WB_only,156.3,26.67309033
128,128,ES5,DSC_0124.sample2.clean.jpg,NA,Digital,ES5_43,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep1,isolateRep1,sample2,WB_only,191.9,30.47886102
129,129,ES5,DSC_0124.sample3.clean.jpg,NA,Digital,ES5_43,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep1,isolateRep1,sample3,WB_only,214.3,32.74646399
130,130,ES5,DSC_0152.sample1.clean.jpg,NA,Digital,ES5_44,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep2,isolateRep1,sample1,WB_only,80.1,17.27273601
131,131,ES5,DSC_0152.sample2.clean.jpg,NA,Digital,ES5_44,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep2,isolateRep1,sample2,WB_only,68.3,15.57304209
132,132,ES5,DSC_0152.sample3.clean.jpg,NA,Digital,ES5_44,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep2,isolateRep1,sample3,WB_only,106.3,20.76092129
133,133,ES5,DSC_0655.sample1.clean.jpg,NA,Digital,ES5_45,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep3,isolateRep1,sample1,WB_only,224,33.70242973
134,134,ES5,DSC_0655.sample2.clean.jpg,NA,Digital,ES5_45,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep3,isolateRep1,sample2,WB_only,141,24.94551206
135,135,ES5,DSC_0655.sample3.clean.jpg,NA,Digital,ES5_45,7DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,stemRep3,isolateRep1,sample3,WB_only,262.1,37.32532205
