"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"41",41,"ES8","Digital",202,"DSC_0370.ES8_41.sample1.WB_only.clean.jpg.chl.csv","DSC_0370","ES8_41","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep2","WB_only","sample1",0,0
"42",42,"ES8","Digital",58,"DSC_0040.ES8_42.sample1.WB_only.clean.jpg.chl.csv","DSC_0040","ES8_42","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep2","WB_only","sample1",32.304,3.37473523227098
"43",43,"ES8","Digital",406,"DSC_0511.ES8_43.sample1.WB_only.clean.jpg.chl.csv","DSC_0511","ES8_43","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep3","WB_only","sample1",24.36,3.0572929115786
"44",44,"ES8","Digital",139,"DSC_0094.ES8_44.sample1.WB_only.clean.jpg.chl.csv","DSC_0094","ES8_44","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep3","WB_only","sample1",59.481,4.17861531306173
"45",45,"ES8","Digital",88,"DSC_0060.ES8_45.sample1.WB_only.clean.jpg.chl.csv","DSC_0060","ES8_45","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep3","WB_only","sample1",32.282,3.3739306503328
"46",46,"ES8","Digital",400,"DSC_0507.ES8_46.sample1.WB_only.clean.jpg.chl.csv","DSC_0507","ES8_46","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep1_IsolateRep4","WB_only","sample1",37.714,3.56267256032145
"47",47,"ES8","Digital",91,"DSC_0062.ES8_47.sample1.WB_only.clean.jpg.chl.csv","DSC_0062","ES8_47","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep2_IsolateRep4","WB_only","sample1",32.061,3.3658284144626
"48",48,"ES8","Digital",124,"DSC_0084.ES8_48.sample1.WB_only.clean.jpg.chl.csv","DSC_0084","ES8_48","soybean","AG4632","DMCC2126","Shaking","25fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_DMCC2126_Shaking_25fold_stemRep3_IsolateRep4","WB_only","sample1",70.084,4.42554344309813
"49",49,"ES8","Digital",46,"DSC_0032.ES8_49.sample1.WB_only.clean.jpg.chl.csv","DSC_0032","ES8_49","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample1",106.921,5.13064604219617
"50",50,"ES8","Digital",NA,NA,NA,"ES8_50","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep2_IsolateRep1",NA,"sample1",NA,NA
"51",51,"ES8","Digital",346,"DSC_0470.ES8_51.sample1.WB_only.clean.jpg.chl.csv","DSC_0470","ES8_51","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample1",69.829,4.41990096041207
"52",52,"ES8","Digital",460,"DSC_0548.ES8_52.sample1.WB_only.clean.jpg.chl.csv","DSC_0548","ES8_52","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample1",76.423,4.56171794223683
"53",53,"ES8","Digital",121,"DSC_0082.ES8_53.sample1.WB_only.clean.jpg.chl.csv","DSC_0082","ES8_53","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep2_IsolateRep2","WB_only","sample1",26.753,3.15922364611588
"54",54,"ES8","Digital",169,"DSC_0114.ES8_54.sample1.WB_only.clean.jpg.chl.csv","DSC_0114","ES8_54","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep3_IsolateRep2","WB_only","sample1",67.088,4.3583860492936
"55",55,"ES8","Digital",160,"DSC_0108.ES8_55.sample1.WB_only.clean.jpg.chl.csv","DSC_0108","ES8_55","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep1_IsolateRep3","WB_only","sample1",40.609,3.65609778954444
"56",56,"ES8","Digital",310,"DSC_0442.ES8_56.sample1.WB_only.clean.jpg.chl.csv","DSC_0442","ES8_56","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep2_IsolateRep3","WB_only","sample1",43.767,3.75319710490085
"57",57,"ES8","Digital",334,"DSC_0462.ES8_57.sample1.WB_only.clean.jpg.chl.csv","DSC_0462","ES8_57","soybean","AG4632","DMCC2127","Shaking","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_DMCC2127_Shaking_100fold_stemRep3_IsolateRep3","WB_only","sample1",39.663,3.6260596655448
