No,FileNo,FileCode,PhotoCode,ExpCode,sampleNumber,Exposure,ExpNo,Treatment,Host,HostCultivar,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
79,68,DSC_0537.ES14B_07.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0537,ES14B_07,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep1,6.28,1,1,1,208.484
80,2,DSC_0494.ES14B_08.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0494,ES14B_08,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep2,5.77,1,1,1,196.839
81,161,DSC_0599.ES14B_09.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0599,ES14B_09,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep3,6.6,1,1,1,135.833
82,188,DSC_0617.ES14B_10.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0617,ES14B_10,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep1,6.24,1,1,1,242.882
83,173,DSC_0608.ES14B_11.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0608,ES14B_11,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep2,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep2,6.73,1,1,1,205.331
84,194,DSC_0621.ES14B_12.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0621,ES14B_12,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep3,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep3,6.54,1,1,1,269.269
85,149,DSC_0591.ES14B_13.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0591,ES14B_13,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep2,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep2_techRep1,6.95,1,1,1,190.484
86,11,DSC_0500.ES14B_14.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0500,ES14B_14,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep2,techRep2,ES14B_Control_Peanut_GA06_25fold_isoRep2_techRep2,6.51,1,1,1,211.023
87,77,DSC_0544.ES14B_15.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0544,ES14B_15,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep2,techRep3,ES14B_Control_Peanut_GA06_25fold_isoRep2_techRep3,6.5,1,1,1,228.938
88,62,DSC_0533.ES14B_16.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0533,ES14B_16,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep3,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep3_techRep1,6.29,1,1,1,234.6
