No,FileCode,PhotoCode,ExpCode,sampleNumber,ExpNo,Treatment,HostVariety,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
50,,,ES13A_50,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep2,techRep2,ES13A_DMCC2165_AG4632_100fold_isoRep2_techRep2,7.68,,,,NA
51,DSC_0541.ES13A_51.sample1.clean.jpg.chl.csv,DSC_0541,ES13A_51,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep2,techRep3,ES13A_DMCC2165_AG4632_100fold_isoRep2_techRep3,7.69,1,1,1,84.124
52,,,ES13A_52,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep3,techRep1,ES13A_DMCC2165_AG4632_100fold_isoRep3_techRep1,7.62,,,,NA
53,DSC_0565.ES13A_53.sample1.clean.jpg.chl.csv,DSC_0565,ES13A_53,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep3,techRep2,ES13A_DMCC2165_AG4632_100fold_isoRep3_techRep2,7.69,1,1,1,79.631
54,DSC_0516.ES13A_54.sample1.clean.jpg.chl.csv,DSC_0516,ES13A_54,sample1,ES13A,DMCC2165,AG4632,100fold,isoRep3,techRep3,ES13A_DMCC2165_AG4632_100fold_isoRep3_techRep3,7.78,1,1,1,0
55,DSC_0603.ES13A_55.sample1.clean.jpg.chl.csv,DSC_0603,ES13A_55,sample1,ES13A,DMCC2165,Osage,100fold,isoRep1,techRep1,ES13A_DMCC2165_Osage_100fold_isoRep1_techRep1,7.62,1,1,1,160.775
56,DSC_0528.ES13A_56.sample1.clean.jpg.chl.csv,DSC_0528,ES13A_56,sample1,ES13A,DMCC2165,Osage,100fold,isoRep1,techRep2,ES13A_DMCC2165_Osage_100fold_isoRep1_techRep2,7.72,1,1,1,43.159
57,DSC_0573.ES13A_57.sample1.clean.jpg.chl.csv,DSC_0573,ES13A_57,sample1,ES13A,DMCC2165,Osage,100fold,isoRep1,techRep3,ES13A_DMCC2165_Osage_100fold_isoRep1_techRep3,7.69,1,1,1,201.765
58,DSC_0585.ES13A_58.sample1.clean.jpg.chl.csv,DSC_0585,ES13A_58,sample1,ES13A,DMCC2165,Osage,100fold,isoRep2,techRep1,ES13A_DMCC2165_Osage_100fold_isoRep2_techRep1,7.67,1,1,1,0
59,DSC_0503.ES13A_59.sample1.clean.jpg.chl.csv,DSC_0503,ES13A_59,sample1,ES13A,DMCC2165,Osage,100fold,isoRep2,techRep2,ES13A_DMCC2165_Osage_100fold_isoRep2_techRep2,7.74,1,1,1,67.547
